第一世代(1972－1977)
Odyssey（奥德赛）


第二世代(1976-1983)
(Atari) 2600

第三世代(1983-1987)

Nintendo 

Family computer 

第四世代(1987-1994)
1987年，SEGA（世嘉）公司在日本推出Mega Drive(MD，美国称Genesis)
NEC也联合Hudson推出了PC-Engine。这是第一台可加装CD-ROM的游戏机
Super family computer 
1991年8月13日，任天堂在美国推出了将SFC重新设计的Super Nintendo Entertainment System(SNES)

第五世代(1994-2002)
1992年，世嘉（SEGA）成立了“Giga-Drive”研发项目，开发了“SEGA Saturn (SS，土星）

1994年12月3日，PlayStation(PS)正式发售
PlayStation1代(PS1)
Nintendo 64

第六世代(1998-2004)
Dreamcast(DC)—梦(Dream)与传播(Broadcast)的合成词。意思是将梦传播给玩家
PlayStation 2(PS2)
任天堂NGC

2001年11月15日，微软发布了Xbox游戏主机

第七世代(2005----至今)

2005年5月，Sony正式发表PlayStation 3(PS3)




Wii 
Wii U

Sony 
PlayStation 
PlayStation 2
PlayStation 3
PlayStation 4

Microsoft 

Xbox 
Xbox360
Xbox one 




Emulators
name score
Mesen 8.9 
Nestopia UE 8.7
Jnes  8.6
FCEUX  8.3
VirtuaNES  8.2
BizHawk 8.1 





The list contains 1058 games.

Original Title[4][5][6]	NES Title[4][5][6]	Date[4][5][6]	Publisher[4][5][6]
'89 Dennō Kyūsei Uranai	—	December 10, 1988	Jingukan Polaris
10-Yard Fight	10-Yard Fight	August 30, 1985	Irem
1942	1942	December 11, 1985	Capcom
1943: The Battle of Valhalla	1943: The Battle of Midway	June 20, 1989	Capcom
1999: Hore, Mita koto ka! Seikimatsu	—	September 18, 1992	Coconuts Japan
2010 Street Fighter	Street Fighter 2010: The Final Fight	August 8, 1990	Capcom
4 Nin Uchi Mahjong	—	November 2, 1984	Nintendo
8 Eyes	8 Eyes	September 27, 1988	SETA
A Ressha de Ikou	—	August 21, 1991	Pony Canyon
A Week of Garfield	—	April 7, 1989	Towachiki
Aa Yakyū Jinsei Itchokusen	—	December 25, 1992	Sammy
Abadox	Abadox	December 15, 1989	Natsume
Abarenbou Tengu	Zombie Nation	December 14, 1990	Meldac
Aces: Iron Eagle III	Ultimate Air Combat	August 7, 1992	Pack-In-Video
Advanced Dungeons & Dragons: Dragons of Flame	—	February 21, 1992	Pony Canyon
Advanced Dungeons & Dragons: Heroes of the Lance	Advanced Dungeons & Dragons: Heroes of the Lance	March 8, 1991	Pony Canyon
Advanced Dungeons & Dragons: Hillsfar	Advanced Dungeons & Dragons: Hillsfar	March 21, 1991	Pony Canyon
Advanced Dungeons & Dragons: Pool of Radiance	Advanced Dungeons & Dragons: Pool of Radiance	June 28, 1991	Pony Canyon
Adventures of Lolo	Adventures of Lolo 2	January 6, 1990	HAL
Adventures of Lolo 2	Adventures of Lolo 3	December 26, 1990	HAL
After Burner II	—	March 30, 1989	Sunsoft
Ai Sensei no Oshiete: Watashi no Hoshi	—	March 26, 1993	Irem
Aigiina no Yogen: From the Legend of Balubalouk	—	November 21, 1986	Vic Tokai
Air Fortress	Air Fortress	August 11, 1987	HAL
Airwolf	—	December 24, 1988	Kyugo Boueki
Akagawa Jirou no Yuurei Ressha	—	February 8, 1991	King Records
Akira	—	December 24, 1988	Taito
Akuma no Shoutaijou	Uninvited	September 29, 1989	Kemco
Akuma-kun: Makai no Wana	—	February 24, 1990	Bandai
Akumajou Densetsu	Castlevania III: Dracula's Curse	December 22, 1989	Konami
Akumajou Dracula	Castlevania	February 5, 1993	Konami
Akumajou Special: Boku Dracula Kun	—	October 19, 1990	Konami
Alien Syndrome	Alien Syndrome (unlicensed)	December 2, 1988	Sunsoft
America Daitōryō Senkyo	—	October 28, 1988	Hect
America Oudan Ultra Quiz: Shijou Saidai no Tatakai	—	November 29, 1991	Tomy
American Dream	—	September 23, 1989	Coconuts Japan
Ankoku Shinwa: Yamato Takeru Densetsu	—	March 24, 1989	Tokyo Shoseki
Aoki Ookami to Shiroki Mejika: Genchou Hishi	—	March 25, 1993	Koei
Aoki Ookami to Shiroki Mejika: Genghis Khan	Genghis Khan	April 20, 1989	Koei
Arabian Dream Scheherazade	Magic of Scheherazade, The	September 3, 1987	Culture Brain
Arctic	—	February 23, 1990	Pony Canyon
Argos no Senshi	Rygar	April 14, 1987	Tecmo
Argus	—	April 17, 1986	Jaleco
Arkanoid	Arkanoid	December 26, 1986	Taito
Arkanoid II	—	March 8, 1988	Taito
Armadillo	—	August 9, 1991	IGS
Artelius	—	November 13, 1987	Nihon Bussan
Asmik-kun Land	—	December 20, 1991	Asmik
ASO: Armored Scrum Object	Alpha Mission	September 3, 1986	SNK
Astro Fang: Super Machine	—	October 26, 1990	A-Wave
Astro Robo Sasa	—	August 9, 1985	ASCII
Athena	Athena	June 5, 1987	SNK
Atlantis no Nazo	—	April 17, 1986	Sunsoft
Attack Animal Gakuen	—	December 26, 1987	Pony Canyon
B-Wings	—	June 3, 1986	Data East
Babel no Tou	—	July 18, 1986	Namco
Baken Hisshou Gaku: Gate In	—	May 25, 1990	K Amusement
Bakushō! Ai no Gekijō	—	December 29, 1990	Coconuts Japan
Bakushou!! Jinsei Gekijou	—	March 17, 1989	Taito
Bakushou!! Jinsei Gekijou 2	—	March 22, 1991	Taito
Bakushou!! Jinsei Gekijou 3	—	December 20, 1991	Taito
Bakushō! Star Monomane Shitennō	—	September 14, 1990	Pack-In-Video
Ballblazer	—	March 4, 1988	Pony Canyon
Balloon Fight	Balloon Fight	January 22, 1985	Nintendo
Baltron	—	March 19, 1986	Toei Animation
Banana	—	September 8, 1986	Victor
Bananan Ouji no Daibouken	Banana Prince	December 20, 1991	Takara
Barcode World	—	December 18, 1992	Sunsoft
Bard's Tale: Tales of the Unknown	Bard's Tale: Tales of the Unknown	December 21, 1990	Pony Canyon
The Bard's Tale II: The Destiny Knight	—	January 25, 1992	Pony Canyon
Baseball	Baseball	December 7, 1983	Nintendo
Baseball Fighter	—	July 5, 1991	VAP
Baseball Stars: Mezase Sankanou!!	Baseball Stars	May 19, 1989	SNK
Batman	Batman	December 22, 1989	Sunsoft
Bats & Terry	—	July 22, 1987	Use
Battle Baseball	—	February 19, 1993	Banpresto
Battle City	—	September 9, 1985	Namco
Battle Fleet	—	June 22, 1990	Namco
Battle Formula	Super Spy Hunter	September 27, 1991	Sunsoft
Datach: Battle Rush: Build Up Robot Tournament	—	November 13, 1993	Bandai
Battle Stadium: Senbatsu Pro Yakyuu	—	December 20, 1990	IGS
Battle Storm	—	December 21, 1991	Yonezawa PR21
Battletoads	Battletoads	December 20, 1991	NCS
Be-Bop High School: Koukousei Gokuraku Densetsu	—	March 30, 1988	Data East
Best Keiba: Derby Stallion	—	December 21, 1991	ASCII
Best Play Pro Yakyuu	—	July 15, 1988	ASCII
Best Play Pro Yakyuu II	—	March 30, 1990	ASCII
Best Play Pro Yakyuu '90	—	December 13, 1990	ASCII
Best Play Pro Yakyuu Shin Data	—	November 11, 1988	ASCII
Best Play Pro Yakyuu Special	—	October 16, 1992	ASCII
Bikkuri Nekketsu Shin Kiroku! Harukanaru Kin Medal	Crash 'n the Boys: Street Challenge	June 26, 1992	Technos Japan
Bikkuriman World: Gekitou Sei Senshi	—	July 27, 1990	Hudson Soft
Binary Land	—	December 19, 1985	Hudson Soft
Bio Miracle Bokutte Upa	—	February 26, 1993	Konami
Bio Senshi Dan: Increaser to no Tatakai	Bashi Bazook: Morphoid Masher (unreleased)	September 22, 1987	Jaleco
Bird Week	—	June 3, 1986	Toshiba EMI
The Black Bass	—	February 6, 1987	Hot B
The Black Bass 2	The Black Bass	October 18, 1988	Hot B
Blodia Land: Puzzle Quest	—	August 11, 1990	Tonkin House
Bloody Warriors: Shan-Go no Gyakushuu	—	October 19, 1990	Toei Animation
Blue Marlin, The	The Blue Marlin	December 27, 1991	Hot B
Bokosuka Wars	—	December 14, 1985	ASCII
Bomber King	RoboWarrior	August 7, 1987	Hudson Soft
Bomberman	Bomberman	December 19, 1985	Hudson Soft
Bomberman II	Bomberman II	June 28, 1991	Hudson Soft
Booby Kids	—	July 10, 1987	Nihon Bussan
Boulder Dash	Boulder Dash	March 23, 1990	Data East
Bubble Bobble 2	Bubble Bobble Part 2	March 5, 1993	Taito
Bucky O'Hare	Bucky O'Hare	January 31, 1992	Konami
Buggy Popper	Bump 'n' Jump	October 8, 1986	Data East
Burai Fighter	Burai Fighter	July 20, 1990	Taito
BurgerTime	BurgerTime	November 27, 1985	Namco
Business Wars	—	January 24, 1992	Hect
Cadillac	—	February 2, 1990	Hect
Capcom Barcelona '92	Capcom's Gold Medal Challenge '92	June 5, 1992	Capcom
Captain Ed	—	August 25, 1989	CBS Sony Group
Captain Saver	Power Blade 2	September 29, 1992	Taito
Captain Silver	—	December 16, 1988	Tokuma Shoten
Captain Tsubasa	Tecmo Cup Soccer Game	April 28, 1988	Tecmo
Captain Tsubasa Vol. II: Super Striker	—	July 20, 1990	Tecmo
Casino Derby & Super Bingo	—	March 19, 1993	Yonezawa PR21
Castle Excellent	Castlequest	November 28, 1986	ASCII
Castle Quest	—	April 19, 1990	Hudson Soft
Chack'n Pop	—	May 24, 1985	Taito
Challenger	—	October 15, 1985	Hudson Soft
Championship Bowling	Championship Bowling	February 8, 1991	Athena
Championship Lode Runner	—	April 17, 1985	Hudson Soft
Chaos World	—	October 25, 1991	Natsume
Chester Field: Ankoku Shin e no Chōsen	—	July 30, 1987	Vic Tokai
Chibi Maruko-Chan: Uki Uki Shopping	—	October 4, 1991	Namco
Chiisana Obake: Achhi Sochhi Kocchi	—	December 4, 1992	VAP
Chiki Chiki Machine Mou Race	Wacky Races	December 25, 1991	Atlus
Chip to Dale no Daisakusen	Chip 'N Dale: Rescue Rangers	June 8, 1990	Capcom
Chip to Dale no Daisakusen 2	Chip 'N Dale: Rescue Rangers 2	December 10, 1993	Capcom
Chitei Senkou Bazolder	Wurm: Journey to the Center of the Earth	November 15, 1991	SOFEL
Chiyonofuji no Ōichō	—	December 7, 1990	Face
Choplifter	—	June 26, 1986	Jaleco
Chou-Wakusei Senki MetaFight	Blaster Master	June 17, 1988	Sunsoft
Choujikuu Yousai Macross	—	December 10, 1985	Namco
Chōjin Sentai Jetman	—	December 21, 1991	Angel
Choujin Ultra Baseball	Baseball Simulator 1.000	October 27, 1989	Culture Brain
Choujinrou Senki Warwolf	Werewolf: The Last Warrior	June 28, 1991	Takara
Chuugoku Janshi Story: Tonpuu	—	December 23, 1989	Natsume
Chuugoku Senseijutsu	—	November 29, 1988	Jaleco
Chuuka Taisen	—	September 22, 1989	Taito
Circus Charlie	—	March 4, 1986	Soft Pro
City Adventure Touch: Mystery of Triangle	—	March 14, 1987	Toho
City Connection	City Connection	September 27, 1985	Jaleco
Clu Clu Land	Clu Clu Land	November 22, 1984	Nintendo
Cobra Command	Cobra Command	October 21, 1988	Data East
Cocoron	—	May 3, 1991	Takeru
Columbus: Ougon no Yoake	—	November 20, 1992	Tomy
Conflict	Conflict	December 1, 1989	Vic Tokai
Contra	Contra (USA version)
Probotector (European version)
Gryzor (Oceania and Europe)	February 9, 1988	Konami
Cosmic Epsilon	—	November 24, 1989	Asmik
Cosmic Wars	—	August 4, 1989	Konami
Cosmo Genesis	Star Voyager	December 23, 1986	ASCII
Cosmo Police Galivan	—	June 3, 1988	Nihon Bussan
Crayon Shin-Chan: Ora to Poi Poi	—	August 27, 1993	Bandai
Crazy Climber	—	December 26, 1986	Nihon Bussan
Crisis Force	—	August 27, 1991	Konami
Cross Fire	—	November 2, 1990	Kyugo Boueki
Cycle Race: Road Man	—	December 17, 1988	Tokyo Shoseki
Dai-2-Ji Super Robot Taisen	—	December 19, 1991	Banpresto
Daikaijyu Deburasu	—	December 21, 1990	Data East
Daikoukai Jidai	Uncharted Waters	March 15, 1991	Koei
Daiku no Gen-San	Hammerin' Harry	November 15, 1991	Irem
Daiku no Gen-San 2	—	October 22, 1993	Irem
Dai Meiro - Meikyuu no Tatsujin	—	November 30, 1990	Epoch
Daisenryaku	—	October 11, 1988	Bothtec
Daiva	—	December 5, 1986	Toshiba EMI
Dark Lord	—	February 8, 1991	Data East
Dash Yarou	Rally Bike	June 15, 1990	Visco
Datach Crayon Shin-Chan: Ora to Poi Poi	—	August 27, 1993	Bandai
Datsugoku	P.O.W.: Prisoners of War	June 30, 1989	K Amusements
De-Block	—	August 9, 1991	Athena
Deep Dungeon III	—	May 13, 1988	Square
Deep Dungeon IV	—	April 6, 1990	Asmik
Deja Vu	Deja Vu	November 22, 1988	Kemco
Dengeki Big Bang!	Clash at Demonhead	January 27, 1989	Vic Tokai
Densetsu no Kishi Elrond	Wizards & Warriors	July 15, 1988	Jaleco
Derby Stallion Zengokuban	—	August 29, 1992	ASCII
Devilman	—	April 25, 1989	Namco
Devil World	Devil World (EU only)	October 5, 1984	Nintendo
Dezaemon	—	September 13, 1991	Athena
Die Hard	Die Hard	July 19, 1991	Pack-In-Video
Dig Dug	—	June 4, 1985	Namco
Dig Dug II	Dig Dug II	April 18, 1986	Namco
Digital Devil Monogatari Megami Tensei	—	September 11, 1987	Namco
Digital Devil Monogatari: Megami Tensei II	—	April 6, 1990	Namco
Doki! Doki! Yūenchi: Crazy Land Daisakusen	Trolls in Crazyland	August 9, 1991	VAP
Dokuganryu Masamune	—	April 5, 1988	Namco
Don Doko Don	—	March 9, 1990	Taito
Don Doko Don 2	—	January 31, 1992	Taito
Donald Duck	Snoopy's Silly Sports Spectacular	September 22, 1988	Kemco
Donald Land	—	January 29, 1988	Data East
Donkey Kong	Donkey Kong	July 15, 1983	Nintendo
Donkey Kong 3	Donkey Kong 3	July 4, 1984	Nintendo
Donkey Kong Jr. Math	Donkey Kong Jr. Math	December 12, 1983	Nintendo
Donkey Kong Jr.	Donkey Kong Jr.	July 15, 1983	Nintendo
Door Door	—	July 18, 1985	Enix
Doraemon	—	December 12, 1986	Hudson Soft
Doraemon: Giga Zombie no Gyakushū	—	September 14, 1990	Epoch
Double Dragon	Double Dragon	April 8, 1988	Technos Japan
Double Dragon II: The Revenge	Double Dragon II: The Revenge	December 22, 1989	Technos Japan
Double Dragon III: The Rosetta Stone	Double Dragon III: The Sacred Stones	February 22, 1991	Technos Japan
Double Moon Densetsu	—	October 30, 1992	NCS
Dough Boy	—	December 11, 1985	Kemco
Downtown Nekketsu Koushinkyoku: Soreyuke Daiundoukai	—	October 12, 1990	Technos Japan
Downtown Nekketsu Monogatari	River City Ransom (American version)
Street Gangs (European version)	April 25, 1989	Technos Japan
Dr. Mario	Dr. Mario	July 27, 1990	Nintendo
Dragon Ball 3: Gokuuden	—	October 27, 1989	Bandai
Dragon Ball Z	—	October 27, 1990	Bandai
Dragon Ball Z Side Story: Plan to Eradicate the Saiyans	—	August 6, 1993	Bandai
