2013年1月份记账凭证清单								
								
凭证号	年	月	日	摘  要	一级科目	明细科目名称	金额方向	金  额
001	2013	1	5	收到资本金	1002-银行存款		借方金额	5151450
001	2013	1	5	收到资本金	4001-实收资本		贷方金额	5151450
002	2013	1	7	宋明佳报销差旅费	6601-销售费用	差旅费	借方金额	4200
002	2013	1	7	宋明佳报销差旅费补现金	1001-库存现金		贷方金额	1200
002	2013	1	7	宋明佳报销差旅费冲借款	1221-其他应收款		贷方金额	3000
003	2013	1	9	提现	1001-库存现金		借方金额	10000
003	2013	1	9	提现	1002-银行存款		贷方金额	10000
004	2013	1	11	计提销售部奖金	6601-销售费用	工资	借方金额	5000
004	2013	1	11	计提财务部奖金	6602-管理费用	工资	借方金额	2000
004	2013	1	11	计提员工奖金	2211-应付职工薪酬		贷方金额	7000
005	2013	1	17	应收上戏服务费	1122-应收账款		借方金额	160000
005	2013	1	17	应收上戏服务费	6001-主营业务收入		贷方金额	160000
006	2013	1	19	支付宏发软件费	2202-应付账款		借方金额	180000
006	2013	1	19	支付宏发软件费	1002-银行存款		贷方金额	180000
007	2013	1	29	计提营业税金及附加	6403-营业税金及附加		借方金额	8800
007	2013	1	29	计提营业税	2221-应交税费	应交营业税	贷方金额	8000
007	2013	1	29	计提城建税	2221-应交税费	应交城市维护建设税	贷方金额	560
007	2013	1	29	计提教育费附加	2221-应交税费	教育费附加	贷方金额	240
008	2013	1	29	购买印花税	6602-管理费用	印花税	借方金额	980
008	2013	1	29	购买印花税	1001-库存现金		贷方金额	980
009	2013	1	29	支付银行手续费	6603-财务费用	手续费	借方金额	350
009	2013	1	29	支付银行手续费	1002-银行存款		贷方金额	350
010	2013	1	31	结转销售成本	6401-主营业务成本		借方金额	72000
010	2013	1	31	结转销售成本	1405-库存商品		贷方金额	72000
011	2013	1	31	费用损益结转	4103-本年利润		借方金额	93330
011	2013	1	31	费用损益结转	6401-主营业务成本		贷方金额	72000
011	2013	1	31	费用损益结转	6403-营业税金及附加		贷方金额	8800
011	2013	1	31	费用损益结转	6602-管理费用		贷方金额	2980
011	2013	1	31	费用损益结转	6601-销售费用		贷方金额	9200
011	2013	1	31	费用损益结转	6603-财务费用		贷方金额	350
012	2013	1	31	收入损益结转	6001-主营业务收入		借方金额	160000
012	2013	1	31	收入损益结转	4103-本年利润		贷方金额	160000
